user,rate_blink_left,rate_blink_right,rate_smile_or_not,blink_left,blink_right,smile_or_not
3,0.66,0.73,0.02,0,0,0
3,0.74,0.75,0.02,0,0,0
2,0.99,0.35,0.14,0,1,0
1,0.99,0.99,0.18,0,0,0
2,0.97,0.5,0,0,0,0
2,0.5,0,0,0,0,0
2,0.91,0.99,0.02,0,0,0
3,0.65,0.93,0.01,0,0,0
1,0.33,0.19,0.42,1,1,1
3,0.89,0.79,0.03,0,0,0
1,0.99,0.99,0.11,0,0,0
2,0.84,0.67,0.18,0,0,0
2,0.85,0.44,0.69,0,1,1
3,0.65,0.95,0.08,0,0,0
1,0.94,0.99,0.02,0,0,0
1,1,0.99,0.26,0,0,0
3,0.78,0.99,0.04,0,0,0
2,0.49,0.53,0.01,1,0,0
2,0.87,0.47,0,0,1,0
2,0.18,0.44,0.01,1,1,0
2,0.47,0.45,0.28,1,1,0
2,0.99,0.5,0.15,0,0,0
3,0.99,0.99,0.06,0,0,0
3,0.99,0.92,0.02,0,0,0
2,0.58,0.62,0.01,0,0,0
3,0,0.63,0.12,0,0,0
2,0.55,0.92,0.01,0,0,0
3,0.59,0.79,0.07,0,0,0
2,0.52,0.28,0.95,0,1,1
1,1,0,0.24,0,0,0
2,0.99,0.25,0.14,0,1,0
3,0.03,0.03,0.34,1,1,0
1,0.99,0.99,0.06,0,0,0
3,0.55,0.85,0.02,0,0,0
1,0.99,0.99,0.22,0,0,0
3,0,0.6,0.13,0,0,0
2,0.42,0.5,0,1,0,0
3,0.62,0.99,0.06,0,0,0
3,0.53,0.93,0.01,0,0,0
2,0.99,0.24,0,0,1,0
2,0.75,0.99,0.05,0,0,0
1,0.99,0.89,0.18,0,0,0
2,0.97,0.91,0.16,0,0,0
2,0.99,0.75,0,0,0,0
3,0.48,0.67,0.97,1,0,1
2,0.86,0.85,0.01,0,0,0
3,0.59,0.81,0.01,0,0,0
2,0.84,0.33,0.14,0,1,0
1,0.99,0.99,0.01,0,0,0
1,1,0.82,0.05,0,0,0
3,0,0.84,0.43,0,0,1
2,0.74,0.83,0.12,0,0,0
2,0.64,0.77,0.01,0,0,0
3,0.45,0.99,0.04,1,0,0
1,0.99,0.99,0.1,0,0,0
3,0.44,0.98,0.18,1,0,0
2,0.75,0.74,0.01,0,0,0
1,1,0.99,0.19,0,0,0
1,0.99,0.99,0.01,0,0,0
3,0.82,0.72,0,0,0,0
3,0.75,0.95,0.03,0,0,0
3,0.6,0.99,0.05,0,0,0
3,0.81,0.98,0.02,0,0,0
1,0.99,1,0.15,0,0,0
3,0.89,0.79,0.03,0,0,0
1,0.99,0.99,0.59,0,0,1
2,0.84,0.85,0,0,0,0
3,0.3,0.99,0.01,1,0,0
2,0.69,0.97,0.03,0,0,0
3,0,0.85,0.01,0,0,0
3,0.59,0.85,0.01,0,0,0
2,0.86,0.79,0.01,0,0,0
3,0.32,0.62,0.96,1,0,1
3,0.66,0.71,0.04,0,0,0
3,0.76,0.99,0.14,0,0,0
3,0.49,0.67,0.01,1,0,0
3,0.71,0.99,0.82,0,0,1
3,0.66,0.68,0.01,0,0,0
3,0.56,0.58,0.52,0,0,1
2,0.32,0.27,0.02,1,1,0
2,0.75,0,0,0,0,0
2,0.98,0.82,0.08,0,0,0
2,0.97,0.77,0.97,0,0,1
1,0.99,0.99,0.04,0,0,0
3,0.91,0.63,0.29,0,0,0
2,0.81,0.71,0.66,0,0,1
2,0.38,0.08,0,1,1,0
2,0.03,0,0.05,1,0,0
2,0.9,0.39,0.17,0,1,0
1,1,0.99,0.03,0,0,0
3,0.78,0.99,0.59,0,0,1
1,0.99,0.82,0.07,0,0,0
1,0.28,0.44,0.1,1,1,0
2,0.82,0.99,0.01,0,0,0
3,0.65,0.67,0.38,0,0,0
3,0,0.81,0.06,0,0,0
1,0.21,0.42,0.03,1,1,0
3,0.33,0.35,0.37,1,1,0
1,0.99,0.99,0.01,0,0,0
2,0.92,0.5,0,0,0,0
2,0.87,0.33,0.12,0,1,0
3,0.82,0.99,0.01,0,0,0
2,0.87,0.84,0.01,0,0,0
2,0,0.4,0.19,0,1,0
