user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1,0.99,0.99,0.13,1
1,1,0.99,0.06,1
1,0.99,0.99,0.07,1
1,1,0.99,0.08,0
1,0.99,1,0.06,0
1,1,1,0.15,1
1,0.99,0.99,0.1,0
1,0.99,0.99,0.28,1
1,0.99,0.99,0.14,1
1,0.99,0.99,0.01,1
1,0.99,0.99,0.13,0
1,0.99,0.99,0.26,1
1,0.99,0.99,0.22,1
1,0.99,0.99,0.2,0
1,0.99,0.99,0.14,0
1,0.99,0.99,0.52,1
1,0.99,0.99,0.17,1
1,0.99,0.87,0.03,1
1,1,0.99,0.15,1
1,0.99,0.99,0.09,0
1,1,0.99,0.23,1
1,1,1,0.11,0
1,0.99,0.99,0.12,0
1,0.99,0.99,0.05,1
1,1,1,0.2,1
1,0.99,0.99,0.02,1
1,0.99,1,0.14,0
1,0.3,0.02,0.19,0
1,0.99,0.99,0.1,0
1,0.99,0.99,0.38,1
1,0.99,1,0.43,1
1,0.99,0.99,0.02,0
1,0.99,0.99,0.09,0
1,0.99,0.99,0.19,1
1,0.99,0.99,0.14,0
1,1,1,0.07,1
1,1,1,0.23,0
1,1,0.99,0.08,0
1,1,1,0.06,0
1,1,0.99,0.05,0
1,0.99,0.99,0.03,1
1,0.99,0.99,0.42,1
1,0.99,0.99,0.09,0
1,1,0.99,0.11,0
1,0.99,0.99,0.08,1
1,0.99,0.99,0.13,1
1,0.99,0.99,0.18,0
1,0.99,0.99,0.11,1
1,0.99,0.99,0.02,0
1,0.99,0.99,0.14,1
1,1,0.99,0.01,1
1,0.57,0.46,0.57,1
1,0.99,0.97,0.07,0
1,0.99,0.99,0.07,0
1,0.99,0.99,0.07,0
1,0.99,1,0.09,0
1,1,0.99,0.12,0
1,0.99,0.99,0.33,1
1,0.99,0.99,0.12,0
1,0.99,0.99,0.12,0
1,0.99,0.99,0.16,0
1,1,0.99,0.35,1
1,1,0.99,0.17,1
1,1,0.99,0.1,0
1,0.99,0.99,0.2,1
1,0.99,0.99,0.1,0
1,0.97,0.91,0.08,0
1,0.99,0.99,0.08,0
1,0.99,0.99,0.23,0
1,0.99,0.99,0.09,0
1,0.99,0.99,0.07,1
1,0.99,0.99,0.04,0
1,0.99,0.99,0.29,1
1,1,1,0.07,0
1,1,1,0.15,0
1,0.99,0.99,0.04,0
1,0.99,0.99,0.11,1
1,0.99,0.99,0.03,0
1,0.99,0.99,0.04,0
