,user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
1557,5,0.99,0.85,0.99,2
1558,5,0.99,0.86,0.99,2
1559,5,0.99,0.86,0.99,2
1560,5,0.99,0.86,0.99,2
1561,5,0.99,0.99,0.08,1
1562,5,1.0,1.0,0.0,1
1563,5,0.99,0.99,0.02,1
1564,5,0.99,0.99,0.02,1
1565,5,0.99,0.99,0.02,1
1566,5,0.99,0.99,0.02,1
1567,5,0.99,0.99,0.02,1
1568,5,0.99,0.99,0.02,1
1569,5,0.99,0.99,0.02,1
1570,5,0.99,0.99,0.01,1
1571,5,0.99,0.99,0.01,1
1572,5,0.99,0.99,0.01,1
1573,5,0.99,0.99,0.01,1
1574,5,0.99,0.99,0.01,1
1575,5,0.99,0.99,0.01,1
1576,5,0.99,0.99,0.06,1
1577,5,0.99,0.99,0.06,1
1578,5,0.99,0.99,0.06,1
1579,5,0.99,0.99,0.02,1
1580,5,0.99,0.99,0.02,1
1581,5,0.99,0.99,0.02,1
1582,5,0.99,0.99,0.02,1
1583,5,0.99,0.99,0.02,1
1584,5,0.99,0.99,0.02,1
1585,5,0.99,0.98,0.08,1
1586,5,0.99,0.98,0.08,1
1587,5,0.99,0.98,0.08,1
1588,5,0.99,0.99,0.06,1
1589,5,0.99,0.99,0.06,1
1590,5,0.99,0.99,0.06,1
1591,5,0.99,0.99,0.02,1
1592,5,0.99,0.99,0.02,1
1593,5,0.99,0.99,0.02,1
1594,5,0.99,0.99,0.06,1
1595,5,0.99,0.99,0.06,1
1596,5,0.99,0.99,0.06,1
1597,5,0.99,0.99,0.06,1
1598,5,0.99,0.99,0.05,1
1599,5,0.99,0.99,0.05,1
1600,5,0.99,0.99,0.05,1
1601,5,0.99,0.99,0.04,1
1602,5,0.99,0.99,0.04,1
1603,5,0.99,0.99,0.04,1
1604,5,0.99,0.99,0.1,1
1605,5,0.99,0.99,0.1,1
1606,5,0.99,0.99,0.1,1
1607,5,0.99,0.99,0.11,1
1608,5,0.99,0.99,0.11,1
1609,5,0.99,0.99,0.11,1
1610,5,0.99,0.99,0.05,1
1611,5,0.99,0.99,0.05,1
1612,5,0.99,0.99,0.05,1
1613,5,0.99,0.99,0.05,1
1614,5,0.99,0.99,0.05,1
1615,5,0.99,0.99,0.05,1
1616,5,0.99,0.99,0.06,1
1617,5,0.99,0.99,0.06,1
1618,5,0.99,0.99,0.06,1
1619,5,0.99,0.99,0.04,1
1620,5,0.99,0.99,0.04,1
1621,5,0.48,0.13,0.11,0
1622,5,0.48,0.13,0.11,0
1623,5,0.48,0.13,0.11,0
1624,5,0.89,0.65,0.14,0
1625,5,0.89,0.65,0.14,0
1626,5,0.89,0.65,0.14,0
1627,5,0.99,0.99,0.05,0
1628,5,0.99,0.99,0.05,0
1629,5,0.99,0.99,0.05,0
1630,5,0.99,0.99,0.05,0
1631,5,0.99,0.99,0.05,0
1632,5,0.99,0.99,0.05,0
1633,5,0.99,0.99,0.01,0
1634,5,0.99,0.99,0.01,0
1635,5,0.99,0.99,0.01,0
1636,5,0.99,0.99,0.01,0
1637,5,0.99,0.99,0.01,0
1638,5,0.99,0.99,0.01,0
1639,5,0.99,0.99,0.01,0
1640,5,0.99,0.99,0.01,0
1641,5,0.99,0.99,0.01,0
1642,5,0.99,0.99,0.01,0
1643,5,0.99,0.99,0.01,0
1644,5,0.99,0.99,0.01,0
1645,5,0.99,0.99,0.01,0
1646,5,0.99,0.99,0.01,0
1647,5,0.99,0.99,0.01,0
1648,5,0.99,0.99,0.01,0
1649,5,0.99,0.99,0.01,0
1650,5,0.99,0.99,0.01,0
1651,5,0.99,0.99,0.01,0
1652,5,0.99,0.99,0.01,0
1653,5,0.99,0.99,0.01,0
1654,5,0.99,0.99,0.01,0
1655,5,0.99,0.99,0.01,0
1656,5,0.99,0.99,0.01,0
1657,5,0.99,0.99,0.01,0
1658,5,0.99,0.99,0.01,0
1659,5,0.99,0.99,0.01,0
1660,5,0.99,0.99,0.01,0
1661,5,0.99,0.99,0.01,0
1662,5,0.99,0.99,0.01,0
1663,5,0.99,0.99,0.01,0
1664,5,0.99,0.99,0.01,0
1665,5,0.99,0.99,0.01,0
1666,5,0.99,0.99,0.01,0
1667,5,0.99,0.99,0.01,0
1668,5,0.99,0.99,0.01,0
1669,5,0.99,0.99,0.01,0
1670,5,0.99,0.99,0.01,0
1671,5,0.99,0.99,0.01,0
1672,5,0.99,0.99,0.01,0
1673,5,0.99,0.99,0.01,0
1674,5,0.99,0.99,0.01,0
1675,5,0.99,0.99,0.01,0
1676,5,0.99,0.99,0.01,0
1677,5,0.99,0.99,0.01,0
1678,5,0.99,0.99,0.01,0
1679,5,0.99,0.99,0.01,0
1680,5,0.99,0.99,0.01,0
1681,5,0.99,0.99,0.01,1
1682,5,0.99,0.99,0.01,1
1683,5,0.99,0.99,0.01,1
1684,5,0.99,0.99,0.01,1
1685,5,0.99,0.99,0.01,1
1686,5,0.99,0.99,0.01,1
1687,5,0.99,0.99,0.01,1
1688,5,0.99,0.99,0.01,1
1689,5,0.99,0.99,0.01,1
1690,5,0.99,0.99,0.01,1
1691,5,0.99,0.99,0.01,1
1692,5,0.99,0.99,0.01,1
1693,5,0.99,0.99,0.01,1
1694,5,0.99,0.99,0.01,1
1695,5,0.99,0.99,0.07,1
1696,5,0.99,0.99,0.07,1
1697,5,0.99,0.99,0.07,1
1698,5,1.0,0.99,0.06,1
1699,5,1.0,0.99,0.06,1
1700,5,1.0,0.99,0.06,1
1701,5,1.0,0.99,0.07,1
1702,5,1.0,0.99,0.07,1
1703,5,1.0,0.99,0.07,1
1704,5,0.99,0.99,0.05,1
1705,5,0.99,0.99,0.05,1
1706,5,0.99,0.99,0.05,1
1707,5,0.99,0.99,0.05,1
1708,5,0.99,0.99,0.05,1
1709,5,0.99,0.99,0.05,1
1710,5,0.99,0.99,0.09,1
1711,5,0.99,0.99,0.09,1
1712,5,0.99,0.99,0.09,1
1713,5,0.99,0.99,0.06,1
1714,5,0.99,0.99,0.06,1
1715,5,0.99,0.99,0.06,1
1716,5,0.99,0.99,0.07,1
1717,5,0.99,0.99,0.07,1
1718,5,0.99,0.99,0.07,1
1719,5,0.99,0.99,0.04,1
1720,5,0.99,0.99,0.04,1
1721,5,0.99,0.99,0.04,1
1722,5,0.99,0.99,0.08,1
1723,5,0.99,0.99,0.08,1
1724,5,0.99,0.99,0.08,1
1725,5,0.99,0.99,0.08,1
1726,5,0.99,0.99,0.02,1
1727,5,0.99,0.99,0.02,1
1728,5,0.99,0.99,0.02,1
1729,5,0.99,0.99,0.02,1
1730,5,0.99,0.99,0.01,1
1731,5,0.99,0.99,0.01,1
1732,5,0.99,0.99,0.01,1
1733,5,0.99,0.99,0.01,1
1734,5,0.99,0.99,0.01,1
1735,5,0.99,0.99,0.01,1
1736,5,0.99,0.99,0.02,1
1737,5,0.99,0.99,0.02,1
1738,5,0.99,0.99,0.02,1
1739,5,0.99,0.99,0.01,1
1740,5,0.99,0.99,0.01,1
1741,5,0.99,0.99,0.01,2
1742,5,0.99,0.99,0.01,2
1743,5,0.99,0.99,0.01,2
1744,5,0.99,0.99,0.01,2
1745,5,0.99,0.99,0.14,2
1746,5,0.99,0.99,0.14,2
1747,5,0.99,0.99,0.14,2
1748,5,0.99,0.99,0.14,2
1749,5,0.99,0.99,0.34,2
1750,5,0.99,0.99,0.34,2
1751,5,0.99,0.99,0.34,2
1752,5,0.99,0.99,0.34,2
1753,5,0.99,0.88,0.37,2
1754,5,0.99,0.88,0.37,2
1755,5,0.99,0.88,0.37,2
1756,5,0.99,0.99,0.8,2
1757,5,0.99,0.99,0.8,2
1758,5,0.99,0.99,0.8,2
1759,5,0.99,0.84,0.6,2
