user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
8,0.41,0.66,0.18,0
8,0.53,0.7,0.01,0
8,0.53,0.7,0.01,0
8,0.53,0.7,0.01,0
8,0.53,0.79,0.01,0
8,0.53,0.79,0.01,0
8,0.53,0.79,0.01,0
8,0.46,0.65,0.08,0
8,0.46,0.65,0.08,0
8,0.46,0.65,0.08,0
8,0.54,0.67,0.01,0
8,0.54,0.67,0.01,0
8,0.54,0.67,0.01,0
8,0.54,0.67,0.01,0
8,0.03,0.1,0.01,0
8,0.03,0.1,0.01,0
8,0.03,0.1,0.01,0
8,0.22,0.49,0.01,0
8,0.22,0.49,0.01,0
8,0.22,0.49,0.01,0
8,0.16,0.43,0.01,0
8,0.16,0.43,0.01,0
8,0.16,0.43,0.01,0
8,0.3,0.42,0.01,0
8,0.3,0.42,0.01,0
8,0.3,0.42,0.01,0
8,0.33,0.48,0.02,0
8,0.33,0.48,0.02,0
8,0.33,0.48,0.02,0
8,0.29,0.34,0.02,0
8,0.29,0.34,0.02,0
8,0.29,0.34,0.02,0
8,0.03,0.4,0.02,0
8,0.03,0.4,0.02,0
8,0.03,0.4,0.02,0
8,0.33,0.43,0.02,0
8,0.33,0.43,0.02,0
8,0.33,0.43,0.02,0
8,0.34,0.41,0.04,0
8,0.34,0.41,0.04,0
8,0.34,0.41,0.04,0
8,0.33,0.46,0.01,0
8,0.33,0.46,0.01,0
8,0.33,0.46,0.01,0
8,0.28,0.38,0.01,0
8,0.28,0.38,0.01,0
8,0.28,0.38,0.01,0
8,0.38,0.44,0.03,0
8,0.38,0.44,0.03,0
8,0.38,0.44,0.03,0
8,0.43,0.46,0.04,0
8,0.43,0.46,0.04,0
8,0.43,0.46,0.04,0
8,0.44,0.43,0.01,0
8,0.44,0.43,0.01,0
8,0.44,0.43,0.01,0
8,0.42,0.44,0.02,0
8,0.42,0.44,0.02,0
8,0.42,0.44,0.02,0
8,0.34,0.45,0.05,0
8,0.34,0.45,0.05,0
8,0.89,0.87,0.01,1
8,0.96,0.82,0.01,1
8,0.96,0.82,0.01,1
8,0.96,0.82,0.01,1
8,0.73,0.77,0.01,1
8,0.73,0.77,0.01,1
8,0.73,0.77,0.01,1
8,0.74,0.99,0.01,1
8,0.74,0.99,0.01,1
8,0.74,0.99,0.01,1
8,0.24,0.17,0.01,1
8,0.24,0.17,0.01,1
8,0.24,0.17,0.01,1
8,0.24,0.17,0.01,1
8,0.23,0.22,0.16,1
8,0.23,0.22,0.16,1
8,0.23,0.22,0.16,1
8,0.33,0.56,0.16,1
8,0.33,0.56,0.16,1
8,0.33,0.56,0.16,1
8,0.26,0.6,0.12,1
8,0.26,0.6,0.12,1
8,0.26,0.6,0.12,1
8,0.26,0.58,0.12,1
8,0.26,0.58,0.12,1
8,0.26,0.58,0.12,1
8,0.28,0.49,0.1,1
8,0.28,0.49,0.1,1
8,0.28,0.49,0.1,1
8,0.34,0.52,0.08,1
8,0.34,0.52,0.08,1
8,0.34,0.52,0.08,1
8,0.21,0.42,0.03,1
8,0.21,0.42,0.03,1
8,0.21,0.42,0.03,1
8,0.23,0.5,0.05,1
8,0.23,0.5,0.05,1
8,0.23,0.5,0.05,1
8,0.37,0.51,0.05,1
8,0.37,0.51,0.05,1
8,0.37,0.51,0.05,1
8,0.46,0.48,0.12,1
8,0.46,0.48,0.12,1
8,0.37,0.51,0.12,1
