user,rate_blink_left,rate_blink_right,rate_smile_or_not,feel
13,0.65,0.91,0,0
13,0.74,0.96,0.01,0
13,0.89,0.96,0.02,0
13,0.89,0.96,0.02,0
13,0.89,0.96,0.02,0
13,0.89,0.96,0.02,0
13,0.89,0.96,0.02,0
13,0.99,0.99,0.02,0
13,0.99,0.99,0.02,0
13,0.99,0.99,0.02,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.12,0.89,0.01,0
13,0.12,0.89,0.01,0
13,0.12,0.89,0.01,0
13,0.93,0.99,0.01,0
13,0.93,0.99,0.01,0
13,0.93,0.99,0.01,0
13,0.99,0.99,0.03,0
13,0.99,0.99,0.03,0
13,0.99,0.99,0.03,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.19,0.56,0.04,0
13,0.19,0.56,0.04,0
13,0.19,0.56,0.04,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.96,0.01,0
13,0.99,0.96,0.01,0
13,0.99,0.96,0.01,0
13,0.99,0.95,0.01,0
13,0.99,0.95,0.01,0
13,0.99,0.95,0.01,0
13,1,0.99,0.01,0
13,1,0.99,0.01,0
13,1,0.99,0.01,0
13,0.03,0.26,0.03,0
13,0.03,0.26,0.03,0
13,0.03,0.26,0.03,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.99,0.99,0.01,0
13,0.98,0.99,0.03,0
13,0.98,0.99,0.03,0
13,0.98,0.99,0.03,0
13,0.57,0.79,0.03,0
13,0.57,0.79,0.03,0
13,0.57,0.79,0.03,0
13,0.88,0.99,0.05,0
13,0.88,0.99,0.05,0
13,0.88,0.99,0.05,0

